SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,predicted_prob,loss
0,0,0,0.0625665980448652,1,1,-0.0107985737456872,-0.0877871025100369,1,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,0.04694625,3.058751950804495
0,1,1,1.519339649281326,1,0,1.1093697666724258,2.0062657685188108,1,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,0.049562614,3.0045184711687383
0,1,1,1.4384078131015228,1,1,1.6000629777405375,2.4436652729950983,1,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,0.05203873,2.955767045489453
0,0,1,0.6290894513034889,1,1,1.0168484878178323,1.0267147357395774,1,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,0.05475293,2.9049243774937348
0,1,1,-0.423024419033955,1,1,0.0916356992718981,-0.3268754217154896,1,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,0.05631365,2.876818343023922
0,0,0,0.6290894513034889,1,1,-0.1446239949460815,0.2667193799689127,1,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,0.058708996,2.8351623171996683
0,1,1,-1.232342780831989,1,0,-1.482878206950022,-0.9888564178779706,1,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0.062163822,2.777982082649762
0,0,0,-1.232342780831989,1,0,-1.5010520295821743,-0.9921923298037306,1,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0.06563792,2.7236017572232254
0,1,0,1.155146386472211,1,1,0.9705878483905356,1.470237394342753,1,True,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,0.07302785,2.6169144147301613
0,0,1,0.3053621065842754,1,1,-0.3131448957169481,-0.0656427924239068,1,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.09147053,2.391738411912242
